Generation,Max_Fitness,Avg_Fitness,Successes,Success_Rate,Crashes,Left_Faction,Right_Faction,Mutation_Rate,Min_Distance,Avg_Lifetime,Avg_Speed,DNA_Diversity,Best_Finish_Time,Avg_Finish_Time
1,32.82,20.63,0,0.0,800,416,384,0.02,274.407,28.07,5.9766,0.331496,,
2,32.82,23.78,0,0.0,800,422,378,0.01,274.407,32.66,5.9918,0.329945,,
3,32.82,24.29,0,0.0,800,400,400,0.01,274.407,32.84,5.9922,0.329665,,
4,32.86,24.5,0,0.0,800,413,387,0.01,274.075,33.46,5.9859,0.33012,,
5,32.86,24.46,0,0.0,800,388,412,0.01,274.075,32.61,5.978,0.332341,,
6,32.86,24.47,0,0.0,800,384,416,0.01,274.075,33.0,5.9873,0.332921,,
7,32.86,24.76,0,0.0,800,390,410,0.01,274.075,33.7,5.9921,0.331697,,
8,42.01,24.79,0,0.0,800,434,366,0.01,214.578,33.54,5.9831,0.330222,,
9,42.01,24.97,0,0.0,800,409,391,0.01,214.578,33.95,5.9942,0.326788,,
10,42.01,25.82,0,0.0,800,436,364,0.01,214.578,34.34,5.9824,0.328531,,
11,42.01,28.15,0,0.0,800,473,327,0.01,214.578,36.56,6.0,0.325809,,
12,42.01,30.12,0,0.0,800,501,299,0.01,214.578,38.24,5.9964,0.324028,,
13,42.01,32.15,0,0.0,800,461,339,0.01,214.578,39.45,5.9998,0.32095,,
14,42.01,32.28,0,0.0,800,385,415,0.03,214.578,40.11,6.0,0.320927,,
15,42.01,32.44,0,0.0,800,403,397,0.03,214.578,40.18,6.0,0.320557,,
16,42.01,32.03,0,0.0,800,414,386,0.03,214.578,40.05,6.0,0.321205,,
17,19075.0,55.99,1,0.0013,799,415,385,0.01,14.525,40.17,5.9987,0.32033,185,185.0
18,19075.0,55.55,1,0.0013,799,357,443,0.01,14.525,40.0,5.9941,0.320372,185,185.0
19,19075.0,56.36,1,0.0013,799,329,471,0.01,14.525,40.2,5.9981,0.320046,185,185.0
20,19085.0,79.69,2,0.0025,798,350,450,0.01,11.392,41.26,5.9955,0.319887,183,184.0
21,19110.0,127.94,4,0.005,796,342,458,0.01,11.392,44.72,5.9858,0.32,178,181.25
22,19110.0,226.06,8,0.01,792,328,472,0.01,11.392,59.68,5.9226,0.321882,178,182.38
23,19185.0,833.8,33,0.0413,767,115,685,0.01,10.886,104.22,5.6973,0.325996,163,181.03
24,19185.0,2379.4,97,0.1212,703,50,750,0.01,9.399,117.33,5.641,0.326097,163,179.77
25,19185.0,3556.99,147,0.1837,653,58,742,0.01,9.399,115.5,5.6948,0.32656,163,177.98
