Generation,Max_Fitness,Avg_Fitness,Successes,Success_Rate,Crashes,Left_Faction,Right_Faction,Mutation_Rate,Min_Distance,Avg_Lifetime,Avg_Speed,DNA_Diversity,Best_Finish_Time,Avg_Finish_Time
1,32.85,20.66,0,0.0,800,416,384,0.02,274.169,28.68,5.9798,0.33262,,
2,32.85,23.72,0,0.0,800,421,379,0.01,274.169,32.99,5.9944,0.334033,,
3,33.86,24.45,0,0.0,800,447,353,0.01,266.149,32.89,5.9827,0.3283,,
4,33.86,24.46,0,0.0,800,406,394,0.01,266.149,33.11,5.99,0.328542,,
5,52.18,25.07,0,0.0,800,443,357,0.01,172.684,33.84,5.9844,0.328195,,
6,52.18,24.85,0,0.0,800,452,348,0.01,172.684,33.88,5.9949,0.327276,,
7,52.99,25.01,0,0.0,800,426,374,0.01,170.04,33.98,5.9952,0.326389,,
8,52.99,25.14,0,0.0,800,426,374,0.01,170.04,34.25,5.9847,0.324147,,
9,52.99,25.58,0,0.0,800,451,349,0.01,170.04,34.58,5.9957,0.320913,,
10,52.99,25.57,0,0.0,800,442,358,0.01,170.04,35.26,5.9924,0.31778,,
11,52.99,25.65,0,0.0,800,425,375,0.01,170.04,34.92,5.9905,0.312278,,
12,52.99,26.48,0,0.0,800,442,358,0.01,170.04,35.82,5.985,0.307999,,
13,52.99,28.62,0,0.0,800,431,369,0.03,170.04,37.76,5.9926,0.302597,,
14,52.99,29.77,0,0.0,800,413,387,0.03,170.04,38.64,5.9946,0.303317,,
15,52.99,29.58,0,0.0,800,415,385,0.03,170.04,37.8,5.9975,0.300355,,
16,52.99,28.9,0,0.0,800,427,373,0.01,170.04,36.72,6.0,0.299894,,
17,418.0,29.5,0,0.0,800,424,376,0.01,21.536,37.49,5.9987,0.29961,,
18,418.0,28.83,0,0.0,800,390,410,0.01,21.536,37.59,5.9897,0.300038,,
19,19150.0,52.45,1,0.0013,799,356,444,0.01,11.251,37.67,5.9943,0.302224,170,170.0
20,19150.0,53.48,1,0.0013,799,421,379,0.01,11.251,43.13,5.9926,0.304824,170,170.0
21,19190.0,224.67,8,0.01,792,481,319,0.01,11.251,64.58,5.9783,0.309803,162,169.25
22,19225.0,1597.53,65,0.0813,735,706,94,0.01,9.332,102.61,5.984,0.315544,155,166.43
23,19230.0,4804.07,199,0.2487,601,731,69,0.01,9.332,111.85,5.9936,0.315921,154,166.47
24,19230.0,5233.66,217,0.2712,583,740,60,0.01,9.175,110.56,5.9925,0.316197,154,163.69
25,19230.0,4993.18,207,0.2587,593,732,68,0.01,9.099,106.48,5.9921,0.316277,154,161.53
