Generation,Max_Fitness,Avg_Fitness,Successes,Success_Rate,Crashes,Left_Faction,Right_Faction,Mutation_Rate,Min_Distance,Avg_Lifetime,Avg_Speed,DNA_Diversity,Best_Finish_Time,Avg_Finish_Time
1,32.77,20.93,0,0.0,800,422,378,0.02,274.827,28.07,5.9878,0.333176,,
2,32.84,23.68,0,0.0,800,420,380,0.01,274.25,32.44,5.9895,0.331501,,
3,32.84,23.9,0,0.0,800,405,395,0.01,274.25,32.15,5.9978,0.3268,,
4,32.85,24.48,0,0.0,800,374,426,0.01,274.2,33.52,5.9921,0.325862,,
5,32.85,24.91,0,0.0,800,399,401,0.01,274.141,34.27,5.9951,0.325142,,
6,32.85,25.31,0,0.0,800,407,393,0.01,274.141,34.34,5.9861,0.326662,,
7,32.85,25.1,0,0.0,800,383,417,0.01,274.141,33.99,5.9943,0.325186,,
8,32.85,25.39,0,0.0,800,388,412,0.01,274.141,33.94,5.9913,0.325012,,
9,32.85,25.48,0,0.0,800,383,417,0.01,274.141,34.34,5.9883,0.327869,,
10,32.86,25.23,0,0.0,800,343,457,0.01,274.032,33.51,5.9936,0.326824,,
11,32.86,25.3,0,0.0,800,387,413,0.01,274.032,34.58,5.9896,0.327434,,
12,32.86,25.45,0,0.0,800,375,425,0.01,274.032,34.85,5.9904,0.327437,,
13,32.86,25.36,0,0.0,800,367,433,0.01,274.032,35.51,5.9823,0.328865,,
14,48.99,25.12,0,0.0,800,376,424,0.01,183.982,34.7,5.9821,0.326714,,
15,48.99,24.97,0,0.0,800,391,409,0.01,183.982,33.12,5.9937,0.324767,,
16,48.99,24.73,0,0.0,800,396,404,0.01,183.982,34.28,5.994,0.324072,,
17,48.99,25.2,0,0.0,800,399,401,0.01,183.982,34.37,5.9907,0.323301,,
18,48.99,25.56,0,0.0,800,414,386,0.01,183.982,34.25,5.9828,0.322778,,
19,48.99,27.24,0,0.0,800,446,354,0.01,183.982,36.51,5.999,0.322577,,
20,48.99,28.36,0,0.0,800,471,329,0.03,183.982,37.08,5.9945,0.320107,,
21,48.99,28.66,0,0.0,800,470,330,0.03,183.982,36.6,5.997,0.320527,,
22,48.99,29.12,0,0.0,800,494,306,0.03,183.982,37.51,5.9917,0.320064,,
23,48.99,29.72,0,0.0,800,511,289,0.01,183.982,38.01,5.9965,0.319903,,
24,48.99,30.32,0,0.0,800,536,264,0.01,183.982,38.74,5.9979,0.319354,,
25,48.99,31.02,0,0.0,800,523,277,0.01,183.982,39.35,5.9974,0.31872,,
