Generation,Max_Fitness,Avg_Fitness,Successes,Success_Rate,Crashes,Left_Faction,Right_Faction,Mutation_Rate,Min_Distance,Avg_Lifetime,Avg_Speed,DNA_Diversity,Best_Finish_Time,Avg_Finish_Time
1,32.77,20.86,0,0.0,800,408,392,0.02,274.818,28.29,5.9804,0.333153,,
2,32.83,23.76,0,0.0,800,388,412,0.01,274.263,32.98,5.9873,0.33467,,
3,32.83,24.34,0,0.0,800,411,389,0.01,274.263,33.12,5.9883,0.337749,,
4,32.84,24.06,0,0.0,800,378,422,0.01,274.232,33.48,5.9913,0.336726,,
5,32.84,24.52,0,0.0,800,399,401,0.01,274.232,34.07,5.9829,0.335573,,
6,32.84,24.85,0,0.0,800,423,377,0.01,274.232,33.8,5.9934,0.33296,,
7,70.15,25.06,0,0.0,800,431,369,0.01,128.41,34.07,5.9893,0.333373,,
8,70.15,24.99,0,0.0,800,444,356,0.01,128.41,33.7,5.991,0.331673,,
9,70.15,25.59,0,0.0,800,453,347,0.01,128.41,33.99,5.9968,0.324194,,
10,70.15,27.49,0,0.0,800,525,275,0.01,128.41,35.77,5.9896,0.319665,,
11,255.27,29.36,0,0.0,800,595,205,0.01,35.266,37.2,5.9968,0.313249,,
12,255.27,31.05,0,0.0,800,607,193,0.01,35.266,38.69,6.0,0.307066,,
13,255.27,31.74,0,0.0,800,542,258,0.01,35.266,38.88,5.9965,0.308128,,
14,255.27,31.96,0,0.0,800,484,316,0.01,35.266,39.02,5.9993,0.310107,,
15,255.27,31.89,0,0.0,800,449,351,0.01,35.266,38.86,6.0,0.310826,,
16,255.27,31.0,0,0.0,800,449,351,0.01,35.266,38.68,5.997,0.308564,,
17,255.27,30.11,0,0.0,800,428,372,0.03,35.266,37.15,5.9943,0.306958,,
18,255.27,30.46,0,0.0,800,417,383,0.03,35.266,37.5,5.9941,0.302458,,
19,255.27,31.93,0,0.0,800,415,385,0.03,35.266,39.08,5.9985,0.299975,,
20,255.27,32.42,0,0.0,800,447,353,0.01,35.266,39.53,5.9991,0.298674,,
21,255.27,32.29,0,0.0,800,416,384,0.01,35.266,39.08,6.0,0.29907,,
22,255.27,32.36,0,0.0,800,411,389,0.01,35.266,39.18,6.0,0.298729,,
23,255.27,32.5,0,0.0,800,398,402,0.01,35.266,39.6,5.9985,0.298064,,
24,255.27,32.44,0,0.0,800,417,383,0.01,35.266,39.41,6.0,0.298406,,
25,255.27,32.55,0,0.0,800,427,373,0.03,35.266,39.68,6.0,0.2979,,
