Generation,Max_Fitness,Avg_Fitness,Successes,Success_Rate,Crashes,Left_Faction,Right_Faction,Mutation_Rate,Min_Distance,Avg_Lifetime,Avg_Speed,DNA_Diversity,Best_Finish_Time,Avg_Finish_Time
1,32.69,20.96,0,0.0,800,405,395,0.02,275.442,28.52,5.9847,0.332096,,
2,32.82,23.44,0,0.0,800,432,368,0.01,274.332,32.74,5.9913,0.333417,,
3,32.82,24.4,0,0.0,800,412,388,0.01,274.332,33.04,5.9929,0.330695,,
4,32.82,24.72,0,0.0,800,403,397,0.01,274.332,33.29,5.9895,0.330219,,
5,32.82,24.74,0,0.0,800,413,387,0.01,274.332,33.52,5.9952,0.328312,,
6,32.82,24.77,0,0.0,800,404,396,0.01,274.332,32.92,5.9835,0.328529,,
7,32.84,24.8,0,0.0,800,433,367,0.01,274.23,33.41,5.9921,0.333355,,
8,32.84,24.92,0,0.0,800,428,372,0.01,274.23,33.26,5.9877,0.334157,,
9,32.84,25.3,0,0.0,800,434,366,0.01,274.217,34.15,5.9976,0.334542,,
10,32.84,25.12,0,0.0,800,440,360,0.01,274.217,34.32,5.9918,0.333515,,
11,32.85,25.62,0,0.0,800,434,366,0.01,274.091,34.61,5.9978,0.330521,,
12,32.85,25.19,0,0.0,800,432,368,0.01,274.091,34.35,5.9933,0.329857,,
13,32.85,25.33,0,0.0,800,467,333,0.01,274.091,34.22,5.9933,0.324197,,
14,32.85,25.57,0,0.0,800,476,324,0.01,274.084,34.95,5.9885,0.3207,,
15,32.86,27.15,0,0.0,800,478,322,0.01,274.068,36.44,5.9933,0.314685,,
16,32.86,29.4,0,0.0,800,458,342,0.01,274.017,37.85,5.9999,0.313187,,
17,32.86,29.82,0,0.0,800,390,410,0.01,274.001,37.88,6.0,0.312276,,
18,32.86,31.33,0,0.0,800,344,456,0.01,274.001,38.78,6.0,0.311215,,
19,32.86,32.65,0,0.0,800,335,465,0.01,274.001,39.81,6.0,0.310897,,
20,32.86,32.67,0,0.0,800,337,463,0.01,274.001,39.81,6.0,0.310838,,
21,32.86,32.65,0,0.0,800,378,422,0.01,274.001,39.8,6.0,0.311054,,
22,32.86,32.64,0,0.0,800,376,424,0.01,274.001,39.8,6.0,0.31116,,
23,32.86,32.64,0,0.0,800,389,411,0.01,274.001,39.8,6.0,0.311334,,
24,32.86,32.63,0,0.0,800,396,404,0.01,274.001,39.77,6.0,0.311346,,
25,32.86,32.66,0,0.0,800,402,398,0.01,274.001,39.8,6.0,0.311301,,
